Kanji,Kana,Romaji,Meaning,Level
川,かわ,Kawa,River/Stream,N5
仕事,しごと,Shigoto,Work/job,N5
甘い,あまい,Amai,Sweet,N5
家,いえ,Ie,House,N5
駅,えき,Eki,Station,N5
女,おんな,Onna,Woman,N5
有る,ある,Aru,To be/To exist non-living things,N5
居る,いる,Iru,To be/To exist living things,N5
可愛い,かわいい,Kawaii,Cute,N5
忙しい,いそがしい,Isogashii,Busy,N5
朝,あさ,Asa,Morning,N4
貴方,あなた,Anata,You,N4
いくら,いくら,Ikura,How much,N4
今,いま,Ima,Now,N4
一度,いちど,Ichido,One time/Once,N4
お土産,おみやげ,Omiyage,Souvenir,N4
壊す,こわす,Kowasu,To break/To destroy,N4
止む,やむ,Yamu,To stop,N4
そろそろ ,そろそろ ,Sorosoro,Gradually/Soon,N4
なるほど,なるほど,Naruhodo,Now I understand,N4
